기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20211229,11320,도봉구,274059.32780,270639.63680,2873.53730,546.15380,296619.97240,246046.48080,252638.95710,289359.59270,129798.72820,17785.99190,73032.18130,38980.55500
20211229,11350,노원구,502626.55690,495443.94500,5415.41510,1767.19690,538306.91590,461547.20940,469931.26070,525980.34000,200232.94440,34015.87790,113077.13410,53139.93240
20211229,11380,은평구,434994.88870,428295.34430,5761.17530,938.36920,482487.21310,378812.33340,390959.19570,466448.95520,165366.21500,30693.10990,99385.23150,35287.87360
20211229,11410,서대문구,371772.13150,349573.07060,17856.18230,4342.87860,383232.27420,364242.97110,377810.74090,367458.83910,208950.47990,42890.16440,69470.34490,96589.97060
20211229,11440,마포구,465272.40720,440405.39070,18982.78200,5884.23440,508200.37870,430246.33130,494101.69370,444680.05970,277731.76920,72442.33210,75279.17240,130010.26470
20211229,11470,양천구,384100.04480,375745.55590,5060.75680,3293.73220,409767.87560,351895.93240,360683.95130,400825.82580,153364.98610,29469.68670,67695.53630,56199.76310
20211229,11500,강서구,556412.33690,540067.19990,9306.65880,7038.47820,576024.38910,536441.17390,540932.27110,567469.52670,252427.39750,70734.48790,115136.01940,66556.89020
20211229,11530,구로구,423890.37570,387702.90800,30632.08310,5555.38470,435792.46690,408596.82790,416836.68610,428928.72540,209560.97340,65712.40360,74590.19620,69258.37360
20211229,11545,금천구,249675.33240,229834.83450,16749.16750,3091.33040,276646.04180,223667.66720,272286.40280,233524.56780,165769.35840,62616.65310,46085.36710,57067.33820
20211229,11560,영등포구,520117.28640,478029.06200,38284.80290,3803.42160,586391.80500,459175.04230,576247.08780,480024.57120,353456.27920,95729.33220,91303.64810,166423.29890
20211229,11590,동작구,390354.55510,373687.52640,13476.84270,3190.18600,419945.22620,353643.35320,362304.82120,410390.07940,162179.24370,31571.97740,65829.08690,64778.17940
20211229,11620,관악구,481292.85950,457728.31260,20134.94200,3429.60490,530755.27010,421769.47350,433928.82500,515124.31280,192969.66040,34016.91120,101458.62130,57494.12790
20211229,11650,서초구,590641.88830,572315.08220,13366.97960,4959.82660,708464.70180,480976.36370,686581.56710,522113.54630,422892.80900,137890.87730,81297.84780,203704.08390
20211229,11680,강남구,856238.53340,826928.11520,19977.96910,9332.44910,1080385.01170,665831.59560,1035642.95710,728092.51660,658699.86530,207413.52260,124579.63920,326706.70350
20211229,11710,송파구,761473.00390,743226.14010,13698.20410,4548.65970,774714.61560,749622.48840,770097.25110,755312.82720,385880.38350,113695.88660,150578.13700,121606.35990
